name,date,genre,url
St Kilda v Sydney Swans - Club Members / General Public,2026-08-01,Sports,https://www.ticketmaster.com.au/st-kilda-v-sydney-swans-club-docklands-01-08-2026/event/2500643CC1E5EEE9
Essendon v Adelaide Crows - Amphora Match Day Dining,2026-08-02,Miscellaneous,https://www.ticketmaster.com.au/essendon-v-adelaide-crows-amphora-match-docklands-02-08-2026/event/25006466D762FAC8
Essendon v Adelaide Crows - Club Members / General Public,2026-08-02,Sports,https://www.ticketmaster.com.au/essendon-v-adelaide-crows-club-members-docklands-02-08-2026/event/2500643CC1ECEF07
Western Bulldogs v North Melbourne - Amphora Match Day Dining,2026-08-06,Miscellaneous,https://www.ticketmaster.com.au/western-bulldogs-v-north-melbourne-amphora-docklands-06-08-2026/event/25006466D765FACE
Western Bulldogs V North Melbourne - The Pulse By Coca Cola,2026-08-06,Miscellaneous,https://www.ticketmaster.com.au/western-bulldogs-v-north-melbourne-the-docklands-06-08-2026/event/25006471A5094B04
Western Bulldogs v North Melbourne - Club Members / General Public,2026-08-06,Sports,https://www.ticketmaster.com.au/western-bulldogs-v-north-melbourne-club-docklands-06-08-2026/event/2500643CC1D3EE8F
St Kilda v Carlton - Amphora Match Day Dining,2026-08-09,Miscellaneous,https://www.ticketmaster.com.au/st-kilda-v-carlton-amphora-match-docklands-09-08-2026/event/25006466D768FAD7
St Kilda v Carlton - Club Members / General Public,2026-08-09,Sports,https://www.ticketmaster.com.au/st-kilda-v-carlton-club-members-docklands-09-08-2026/event/2500643CC1E6EEED
Four N Twenty Legends Game,2026-08-27,Sports,https://www.ticketmaster.com.au/four-n-twenty-legends-game-docklands-27-08-2026/event/250064C1AF2A269B
St Kilda v Gold Coast SUNS - Club Members / General Public,2026-09-30,Sports,https://www.ticketmaster.com.au/st-kilda-v-gold-coast-suns-docklands-30-09-2026/event/2500643CC1E7EEF1
"Jay Chou ""Carnival II"" World Tour in Melbourne",2026-10-17,Music,https://www.ticketmaster.com.au/jay-chou-carnival-ii-world-tour-docklands-17-10-2026/event/2500647FEE7EB74F
Marvel Stadium Tour,2026-07-06,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-06-07-2026/event/250064CA8F2B1C8B
Marvel Stadium Tour,2026-07-13,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-13-07-2026/event/250064CAB4BD35E1
Marvel Stadium Tour,2026-07-15,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-15-07-2026/event/250064CAB4BD35E7
Marvel Stadium Tour,2026-07-14,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-14-07-2026/event/250064CAB4BD35E5
Marvel Stadium Tour,2026-07-20,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-20-07-2026/event/250064CAB4BE35F4
Marvel Stadium Tour,2026-07-17,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-17-07-2026/event/250064CAB4BE35ED
Marvel Stadium Tour,2026-07-16,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-16-07-2026/event/250064CAB4BE35EB
Marvel Stadium Tour,2026-07-23,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-23-07-2026/event/250064CAB4BF35FA
Marvel Stadium Tour,2026-07-24,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-24-07-2026/event/250064CAB4BF35FC
Marvel Stadium Tour,2026-07-21,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-21-07-2026/event/250064CAB4BF35F6
Marvel Stadium Tour,2026-07-22,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-22-07-2026/event/250064CAB4BF35F8
Marvel Stadium Tour,2026-07-07,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-07-07-2026/event/250064CAB4BC35D4
Marvel Stadium Tour,2026-07-08,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-08-07-2026/event/250064CAB4BC35D6
Marvel Stadium Tour,2026-07-31,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-31-07-2026/event/250064CAB4C1360A
Marvel Stadium Tour,2026-07-30,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-30-07-2026/event/250064CAB4C13608
Marvel Stadium Tour,2026-08-03,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-03-08-2026/event/250064CAB4C13613
Marvel Stadium Tour,2026-08-04,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-04-08-2026/event/250064CAB4C23615
Marvel Stadium Tour,2026-08-05,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-05-08-2026/event/250064CAB4C23617
Marvel Stadium Tour,2026-08-07,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-07-08-2026/event/250064CAB4C2361B
Marvel Stadium Tour,2026-08-08,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-08-08-2026/event/250064CAB4C2361D
Marvel Stadium Tour,2026-07-28,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-28-07-2026/event/250064CAB4C03604
Marvel Stadium Tour,2026-07-27,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-27-07-2026/event/250064CAB4C03602
Marvel Stadium Tour,2026-07-29,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-29-07-2026/event/250064CAB4C03606
26ITEM,2026-10-01,Undefined,
